"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time"
6,0.000163447723606102,0.000161270111509416,0.000166356911898442,0.000159670915845703,-105.568210865513,-114.050132382781,-106.783236131764,-124.83596986278,15.695,14.739,106.494,0.181000000000012
5,0.000457440810150755,0.000514525998679248,0.000618711896984437,0.000166716908585238,-107.047251980214,-108.901477006644,77.1162406148673,-124.039469282769,25.092,26.003,163.207,0.0500000000000114
8,0.00016157902128382,0.000178321207849044,0.000175301451050948,0.000174224687072768,-105.645215961618,-118.032386538536,-107.201120635222,-124.545203188799,25.306,27.012,164.375,0.111000000000018
3,0.000196033343383625,0.000226968348423639,0.000222350903290085,0.00018454809957425,-110.5737212842,-117.992590404998,-80.8965470591778,-125.977795030876,26.524,25.679,170.871,0.10299999999998
9,0.000302482408667192,0.000305959990173995,0.000256781071036952,9.571400264505e-05,-107.295378566333,-111.602358482996,-74.1098322331668,-137.328220400738,27.159,24.436,172.177,0.099000000000018
1,0.000100598244773905,0.000105620616425556,0.000116603077886403,0.000228971829844528,-113.364017664655,-124.77831883937,-116.333703790292,-129.526110065722,26.842,26.65,171.934,0.0999999999999943
2,0.000216462167904744,0.000229516651210463,0.000286582504216855,0.000351647907766417,-102.872458948155,-113.009202874141,-90.3626850716031,-123.220746917986,25.5,25.522,176.985,0.0589999999999975
4,0.000181195237582643,0.000160350964368738,0.000166419874726174,0.000182151683630491,-105.704320974434,-115.824624721176,-106.636953187205,-131.401453130812,27.026,23.611,181.223,0.222999999999985
7,0.000361440372011945,0.000340017180850646,0.000391135344090155,0.000490628107376536,-102.531820297047,-109.60414772686,-16.1541704879607,-113.934951354814,26.68,25.625,187.089,0.100999999999999
15,0.000172852763212508,0.000177021284003333,0.000182595215640216,0.000151220529077253,-106.966624170725,-117.950628673963,-101.550177793753,-129.196206796961,25.04,25.017,163.103,0.308000000000021
17,0.000146652977291685,0.000148393563241639,0.000387732828877116,0.000127061296298495,-107.395627403009,-113.901572646742,-80.5694136486596,-124.44965929666,26.011,25.049,162.778,0.106999999999999
14,9.75294341369973e-05,0.000101948747638278,9.37622067091222e-05,0.000145266040241648,-109.324887681339,-122.704348157439,-130.618346054432,-136.473991345884,26.19,26.957,162.052,0.0589999999999975
