"seed","dgp_mse","dgp_r_mse","deepgp_mse","hetgp_mse","dgp_logs","dgp_r_logs","deepgp_logs","hetgp_logs","dgp_time","dgp_r_time","deepgp_time","hetgp_time"
4,4.70346554368575e-05,5.44876072436332e-05,5.28693961183406e-05,4.06094442085901e-05,-126.616207976135,-138.529484462152,-127.730225234609,-163.159908100767,23.874,26.371,161.167,0.0840000000000032
6,6.37263502174474e-05,7.15461224500903e-05,6.8258237651456e-05,4.12200979906612e-05,-125.840940387331,-136.132914891621,-105.387660618953,-149.098607804253,24.998,26.058,163.26,0.0519999999999925
5,6.68094178435243e-05,6.76092853401286e-05,6.7198424663055e-05,4.61566871339083e-05,-130.934856599288,-139.438524808691,-101.013482480542,-149.281865968664,25.91,26.152,164.608,0.0740000000000123
3,6.68441474950741e-05,8.793551778908e-05,6.92715442637391e-05,5.09014817453032e-05,-131.025202788088,-139.329876120461,-108.132752416645,-156.061650133691,28.519,27.937,165.765,0.063999999999993
9,6.14558053241169e-05,6.66237417672089e-05,6.9153577974271e-05,3.84953198650738e-05,-125.326286132386,-137.204315869675,-110.309267156597,-165.875646553515,15.143,15.393,123.953,0.0300000000000011
2,5.27167030660798e-05,5.77216702087714e-05,7.639435159346e-05,4.85517795911516e-05,-126.835497167965,-136.580959808951,-110.900137155072,-152.076091629744,24.991,26.657,175.079,0.0400000000000205
7,0.00013795839819533,0.000139438419528464,0.000150005737522975,0.000136058971952425,-123.688905367056,-128.572185114143,18.1555971653848,-148.325836096185,25.753,27.047,183.773,0.0589999999999975
1,3.08998461007242e-05,3.19220627005594e-05,3.36838902533726e-05,2.78620470783521e-05,-133.86803538993,-147.173364429918,-147.553160442212,-160.82970060923,28.378,28.265,186.68,0.0980000000000132
10,5.69675426713377e-05,5.68766212247772e-05,6.0451745071998e-05,4.02448927489694e-05,-127.145924588068,-141.093217528587,-110.771572966278,-153.912340455626,24.029,27.617,158.575,0.0560000000000116
13,0.000110421157815012,0.000101074204953607,9.58187564632175e-05,0.000100046715423452,-127.15817446172,-131.845438986351,-78.9164433507081,-150.170632966917,29.102,24.143,161.375,0.0649999999999977
17,5.73356848411805e-05,5.70110582929509e-05,5.603740569863e-05,5.04405771270908e-05,-125.716512253762,-140.035609239489,-127.38690212506,-155.730789995289,23.057,27.334,164.963,0.0580000000000211
16,3.18252502037364e-05,3.99642790933505e-05,3.37944504345213e-05,3.89234986244437e-05,-127.098378936147,-137.773019827016,-150.93896300094,-138.852640303037,28.684,27.634,161.181,0.0819999999999936
8,4.49350137850161e-05,6.48674865397009e-05,5.5704194304842e-05,4.99990740049503e-05,-126.243488075127,-133.458046663941,-135.12353592862,-142.290950690873,25.501,27.932,165.017,0.0649999999999977
12,3.19670634068292e-05,3.49321727901084e-05,3.24393584068267e-05,2.46507723611775e-05,-139.212381724502,-146.958401393421,-143.526018365055,-155.84736982547,25.828,25.977,176.01,0.0699999999999932
15,5.90051608752455e-05,6.13922534007793e-05,7.18585676350195e-05,5.42857299127882e-05,-125.131026294197,-137.154480286908,-117.486745984388,-157.044528093653,26.089,26.948,175.871,0.192000000000007
11,3.25165348372871e-05,2.33496800767354e-05,3.39780220565598e-05,2.07135777763518e-05,-130.008382306497,-148.951767019362,-145.317969247503,-168.15784820739,23.572,27.298,180.105,0.0569999999999879
14,2.06407656258842e-05,2.20468470372184e-05,2.4155111968723e-05,2.08610038866116e-05,-134.770690587696,-142.214303345474,-158.893610316799,-158.258914919644,27.498,25.313,181.224,0.0529999999999973
20,7.41238775691422e-05,7.48882644831538e-05,8.89625398227295e-05,5.97506381979476e-05,-124.80016273968,-134.721099878694,-82.9394125410805,-154.637210677975,25.071,25.518,175.546,0.259000000000015
18,7.3084590660537e-05,6.91498572804455e-05,6.51952087517087e-05,5.30990362579776e-05,-127.618849595873,-137.965078375233,-115.123763076976,-150.065253223245,26.616,27.03,175.825,0.0720000000000027
19,4.49757189531516e-05,3.95548440455864e-05,3.39999211304909e-05,3.30036650714958e-05,-132.885658115504,-144.134465848702,-146.702051728675,-153.386052177158,26.99,27.39,175.982,0.0430000000000064
